isin,feature_date,nav,return_1d,return_7d,return_30d,ma_7,ma_30,ma_90,volatility_30,momentum,target_nav_1d,target_nav_30d,target_nav_90d
LU0109392836,2026-05-27,75.46,-0.00158772,0.07141843,0.11627219,73.04,69.373667,,0.01464199,,76.81,,
LU0109392836,2026-05-28,76.81,0.01789027,0.06326135,0.16378788,73.867143,69.808667,,0.0146927,,77.92,,
LU0109392836,2026-05-29,77.92,0.01445124,0.0671049,0.17579599,74.937143,70.265667,,0.0147646,,80.18,,
LU0109392836,2026-06-01,80.18,0.02900411,0.09043928,0.19886364,76.071429,70.761333,,0.01519496,,81.37,,
LU0109392836,2026-06-02,81.37,0.01484161,0.07660757,0.20441089,77.264286,71.293333,,0.0152238,,80.66,,
LU0109392836,2026-06-03,80.66,-0.00872557,0.06891068,0.19055351,78.282857,71.803333,,0.01543211,,79.73,,
LU0109392836,2026-06-04,79.73,-0.01152988,0.03801588,0.16173685,78.875714,72.225,,0.01536089,,73.97,,
LU0109392836,2026-06-05,73.97,-0.07224382,-0.05069302,0.04951759,78.662857,72.490333,,0.02049494,,75.79,,
LU0109392836,2026-06-08,75.79,0.02460457,-0.05475181,0.07732765,78.517143,72.759667,,0.02045531,,74.95,,
LU0109392836,2026-06-09,74.95,-0.01108326,-0.07889886,0.04285516,78.092857,73.004667,,0.32825396,,72.69,,
LU0109392836,2026-06-10,72.69,-0.03015344,-0.09880982,0.00358967,77.022857,73.227667,,0.34388656,,75.93,,
LU0109392836,2026-06-11,75.93,0.04457284,-0.04766086,0.06463825,76.245714,73.549667,,0.36442785,,76.46,70.61,
LU0109392836,2026-06-12,76.46,0.00698011,0.0336623,0.052878,75.645714,73.869,,0.36411407,,79.93,69.12,
LU0109392836,2026-06-15,79.93,0.04538321,0.05462462,0.11478382,75.674286,74.281333,,0.38341576,,77.64,66.94,
LU0109392836,2026-06-16,77.64,-0.02865007,0.03589059,0.08284519,76.198571,74.611,,0.39602688,,77.6,70.58,
LU0109392836,2026-06-17,77.6,-0.0005152,0.06754712,0.09264996,76.457143,74.91,,0.39028681,,80.54,71.52,
LU0109392836,2026-06-18,80.54,0.0378866,0.06071382,0.14354678,77.255714,75.245333,,0.40265813,,80.16,73.06,
LU0109392836,2026-06-22,80.16,-0.00471815,0.00287752,0.09016728,78.322857,75.572333,,0.40035166,,76.1,75.86,
LU0109392836,2026-06-23,76.1,-0.0506487,-0.01983514,0.03495172,78.347143,75.713333,,0.43134223,,76.12,75.05,
LU0109392836,2026-06-24,76.12,0.00026281,-0.01907216,0.03522372,78.298571,75.836333,,0.42812129,,77.02,74.89,
LU0109392836,2026-06-25,77.02,0.01182344,-0.04370499,0.01905266,77.882857,76.026333,,0.42643072,,75.93,76.17,
LU0109392836,2026-06-26,75.93,-0.01415217,-0.05723864,0.00622847,77.638571,76.136667,,0.42766204,,78.18,75.78,
LU0109392836,2026-06-29,78.18,0.02963256,-0.0247006,0.00333676,77.721429,76.288667,,0.42695295,,80.31,75.77,
LU0109392836,2026-06-30,80.31,0.02724482,0.05532194,0.03067248,77.688571,76.575667,,0.43073455,,77.85,76.94,
LU0109392836,2026-07-01,77.85,-0.0306313,0.02272727,-0.02905962,77.358571,76.803333,,0.44164743,,75.37,77.71,
LU0109392836,2026-07-02,75.37,-0.03185613,-0.02142301,-0.07373725,77.254286,76.968,,0.44854177,,77.04,77.17,
LU0109392836,2026-07-06,77.04,0.02215736,-0.01458173,0.04150331,77.385714,77.128,,0.45181856,,74.81,77.51,
LU0109392836,2026-07-07,74.81,-0.028946,-0.06848462,0.01135596,77.07,77.187667,,0.46075274,,75.38,,
LU0109392836,2026-07-08,75.38,0.0076193,-0.03172768,-0.00540968,76.991429,77.249333,,0.45393779,,77.24,,
LU0231206078,2025-07-08,93.22,,,,,,,,,93.25,,
